mty,sdom,f
1,1,1250
1,2,1000
1,3,750
1,4,950
2,1,1100
2,2,1000
2,3,750
2,4,950
3,1,1000
3,2,1000
3,3,750
3,4,950
4,1,1000
4,2,1000
4,3,750
4,4,950
