s,branch,foliage,dead leaves,stump,roots
1,0.002564102564102564,0.002680965147453083,0.0023584905660377358,0.0021008403361344537,0.0021321961620469083
2,0.0020408163265306124,0.0028328611898017,0.0018281535648994515,0.0025380710659898475,0.0022123893805309734
3,0.0019801980198019802,0.0033333333333333335,0.0019455252918287938,0.002,0.002
