alr,mty,sdom,hdom,g0,g1
2,2,1,22,28.4,19.3
2,2,1,24,28.4,19.3
2,2,1,26,28.4,19.3
2,2,2,10,24,15.3
2,2,2,12,24,15.3
2,2,2,14,24,17.6
2,2,2,16,26.1,19
2,2,2,18,27.4,19.6
2,2,2,20,28.1,19.9
2,2,2,22,28,19.9
2,2,2,24,28,19.9
2,2,2,26,28,19.9
2,2,3,10,16,8.5
2,2,3,12,16,8.5
2,2,3,14,16.9,10.9
2,2,3,16,18.9,12.7
2,2,3,18,19.8,14.1
2,2,3,20,20.7,15
2,2,3,22,20.7,15
2,2,3,24,20.7,15
2,2,3,26,20.7,15
2,2,4,10,14,10.4
2,2,4,12,14,10.4
2,2,4,14,16,11.7
2,2,4,16,17.4,12.7
2,2,4,18,18.9,13.4
2,2,4,20,18.9,13.4
2,2,4,22,18.9,13.4
2,2,4,24,18.9,13.4
2,2,4,26,18.9,13.4
2,3,1,10,19.5,13.2
2,3,1,12,19.5,13.2
2,3,1,14,23.2,16.3
2,3,1,16,25.2,17.3
2,3,1,18,26.1,17.8
2,3,1,20,26.4,18
2,3,1,22,26.4,18
2,3,1,24,26.4,18
2,3,1,26,26.4,18
2,3,2,10,24,15.3
2,3,2,12,24,15.3
2,3,2,14,24,17.6
2,3,2,16,26.1,19
2,3,2,18,27.4,19.6
2,3,2,20,28.1,19.9
2,3,2,22,28,19.9
2,3,2,24,28,19.9
2,3,2,26,28,19.9
2,3,3,10,14,10.4
2,3,3,12,14,10.4
2,3,3,14,16,11.7
2,3,3,16,17.4,12.7
2,3,3,18,18.9,13.4
2,3,3,20,18.9,13.4
2,3,3,22,18.9,13.4
2,3,3,24,18.9,13.4
2,3,3,26,18.9,13.4
2,3,4,10,14,10.4
2,3,4,12,14,10.4
2,3,4,14,16,11.7
2,3,4,16,17.4,12.7
2,3,4,18,18.9,13.4
2,3,4,20,18.9,13.4
2,3,4,22,18.9,13.4
2,3,4,24,18.9,13.4
2,3,4,26,18.9,13.4
2,4,1,10,17.5,12.8
2,4,1,12,17.5,12.8
2,4,1,14,21.2,15.3
2,4,1,16,23.1,16.1
2,4,1,18,23.8,16.5
2,4,1,20,23.8,16.5
2,4,1,22,23.8,16.5
2,4,1,24,23.8,16.5
2,4,1,26,23.8,16.5
2,4,2,10,17.5,12.8
2,4,2,12,17.5,12.8
2,4,2,14,21.2,15.3
2,4,2,16,23.1,16.1
2,4,2,18,23.8,16.5
2,4,2,20,23.8,16.5
2,4,2,22,23.8,16.5
2,4,2,24,23.8,16.5
2,4,2,26,23.8,16.5
2,4,3,10,14,10.4
2,4,3,12,14,10.4
2,4,3,14,16,11.7
2,4,3,16,17.4,12.7
2,4,3,18,18.9,13.4
2,4,3,20,18.9,13.4
2,4,3,22,18.9,13.4
2,4,3,24,18.9,13.4
2,4,3,26,18.9,13.4
2,4,4,10,14,10.4
2,4,4,12,14,10.4
2,4,4,14,16,11.7
2,4,4,16,17.4,12.7
2,4,4,18,18.9,13.4
2,4,4,20,18.9,13.4
2,4,4,22,18.9,13.4
2,4,4,24,18.9,13.4
2,4,4,26,18.9,13.4
