s,d,h,arvosuhde
2,45,27,1.44
2,45,29,1.51
3,19,11,0.51
3,19,13,0.51
3,19,15,0.51
3,19,17,0.51
3,19,19,0.51
3,19,21,0.51
3,19,23,0.51
3,19,25,0.51
3,19,27,0.51
3,19,29,0.51
3,21,11,0.51
3,21,13,0.51
3,21,15,0.51
3,21,17,0.89
3,21,19,0.87
3,21,21,0.88
3,21,23,0.84
3,21,25,0.82
3,21,27,0.91
3,21,29,0.87
3,23,11,0.52
3,23,13,0.94
3,23,15,0.95
3,23,17,0.96
3,23,19,0.95
3,23,21,0.91
3,23,23,1.04
3,23,25,1.04
3,23,27,1.04
3,23,29,1.03
3,25,11,1.01
3,25,13,1.01
3,25,15,1.02
3,25,17,0.99
3,25,19,0.98
3,25,21,1.14
3,25,23,1.14
3,25,25,1.15
3,25,27,1.15
3,25,29,1.15
3,27,11,1.05
3,27,13,1.05
3,27,15,1.07
3,27,17,1.05
3,27,19,1.21
3,27,21,1.19
3,27,23,1.21
3,27,25,1.20
3,27,27,1.24
3,27,29,1.24
3,29,11,1.12
3,29,13,1.08
3,29,15,1.10
3,29,17,1.08
3,29,19,1.27
3,29,21,1.27
3,29,23,1.26
3,29,25,1.30
3,29,27,1.31
3,29,29,1.29
3,31,11,1.15
3,31,13,1.14
3,31,15,1.12
3,31,17,1.30
3,31,19,1.31
3,31,21,1.32
3,31,23,1.32
3,31,25,1.34
3,31,27,1.34
3,31,29,1.35
3,33,11,1.18
3,33,13,1.16
3,33,15,1.17
3,33,17,1.33
3,33,19,1.34
3,33,21,1.35
3,33,23,1.34
3,33,25,1.39
3,33,27,1.40
3,33,29,1.38
3,35,11,1.21
3,35,13,1.21
3,35,15,1.19
3,35,17,1.38
3,35,19,1.39
3,35,21,1.38
3,35,23,1.42
3,35,25,1.41
3,35,27,1.42
3,35,29,1.43
3,37,11,1.26
3,37,13,1.23
3,37,15,1.41
3,37,17,1.42
3,37,19,1.41
3,37,21,1.42
3,37,23,1.44
3,37,25,1.45
3,37,27,1.44
3,37,29,1.45
3,39,11,1.28
3,39,13,1.25
3,39,15,1.43
3,39,17,1.44
3,39,19,1.44
3,39,21,1.43
3,39,23,1.46
3,39,25,1.46
3,39,27,1.47
3,39,29,1.47
3,41,11,1.31
3,41,13,1.28
3,41,15,1.47
3,41,17,1.47
3,41,19,1.47
3,41,21,1.46
3,41,23,1.48
3,41,25,1.48
3,41,27,1.47
3,41,29,1.48
3,43,11,1.33
3,43,13,1.30
3,43,15,1.48
3,43,17,1.48
3,43,19,1.48
3,43,21,1.50
3,43,23,1.50
3,43,25,1.50
3,43,27,1.49
3,43,29,1.49
3,45,11,1.35
3,45,13,1.31
3,45,15,1.49
3,45,17,1.49
3,45,19,1.49
3,45,21,1.50
3,45,23,1.51
3,45,25,1.50
3,45,27,1.51
3,45,29,1.50
