mty,sdom,f
1,1,150
2,1,150
3,1,100
4,1,100
5,1,50
6,1,50
7,1,50
8,1,50
1,2,300
2,2,300
3,2,250
4,2,200
5,2,150
6,2,150
7,2,150
8,2,150
1,3,20
2,3,20
3,3,20
4,3,20
5,3,20
6,3,10
7,3,10
8,3,10
